x, Bphi, vr, vz, rho, Omega, Psi, T, P, Bphi', vr', vz', rho', Omega', Psi', T', P'
        3.801000000000002E-001,       -2.315323383080397E-001,        4.035969836070348E-001,       -1.532324939764623E-001,        2.236185909552872E-001,        8.307485783088445E-001,        9.767254622821765E-001,        1.031894151047842E+000,        2.307507392924944E-001,       -8.288056153685588E-002,       -3.373960579919645E+000,        8.803525458445702E-001,       -1.845230296523515E+000,       -7.432956088830719E-002,       -1.120052083102064E-001,        1.577576323290549E-001,       -1.868804810865026E+000
        3.901000000000002E-001,       -2.323018006400931E-001,        3.707342535310450E-001,       -1.444329217871257E-001,        2.057900015651438E-001,        8.302109711549818E-001,        9.755983552670635E-001,        1.033483803627503E+000,        2.126806568262123E-001,       -7.130402866063902E-002,       -3.196313973836604E+000,        8.778010788053195E-001,       -1.720970747702049E+000,       -3.393855067258157E-002,       -1.133967013767594E-001,        1.601483086692003E-001,       -1.745638473575091E+000
        4.001000000000002E-001,       -2.329639428125817E-001,        3.397064977902392E-001,       -1.357087401835027E-001,        1.891875619688091E-001,        8.300550239237009E-001,        9.744579086140480E-001,        1.035096636681746E+000,        1.958274324200870E-001,       -6.138475961097412E-002,       -3.007906376594646E+000,        8.655697401809858E-001,       -1.600186299860455E+000,        2.021906439980964E-003,       -1.146741021996062E-001,        1.623948527665847E-001,       -1.625624370778571E+000
        4.101000000000002E-001,       -2.335343914363155E-001,        3.105943689036736E-001,       -1.271479335116209E-001,        1.737713880801468E-001,        8.302372248611558E-001,        9.733052335533700E-001,        1.036731243717401E+000,        1.801542506660366E-001,       -5.293445135876740E-002,       -2.814000438301390E+000,        8.454143525139386E-001,       -1.483859562336886E+000,        3.372994965891626E-002,       -1.158434130578347E-001,        1.645043291836747E-001,       -1.509777423936038E+000
        4.201000000000003E-001,       -2.340269258858724E-001,        2.834298742387542E-001,       -1.188212651408609E-001,        1.594930561389196E-001,        8.307163537194967E-001,        9.721413796819024E-001,        1.038386291446689E+000,        1.656154265231102E-001,       -4.577276748450716E-002,       -2.619051414003906E+000,        8.190107913918151E-001,       -1.372719609999426E+000,        6.145911234105213E-002,       -1.169109289328386E-001,        1.664842768220414E-001,       -1.398860138914023E+000
        4.301000000000003E-001,       -2.344535792003413E-001,        2.582046843617909E-001,       -1.107834173009658E-001,        1.462980113968766E-001,        8.314542495294356E-001,        9.709673328690184E-001,        1.040060523453098E+000,        1.521588098269329E-001,       -3.973129864513673E-002,       -2.426673187063206E+000,        7.878917032902651E-001,       -1.267268456757593E+000,        8.554197685399648E-002,       -1.178830756814688E-001,        1.683424963674620E-001,       -1.293407722038757E+000
        4.401000000000003E-001,       -2.348247705358426E-001,        2.348783867851892E-001,       -1.030746064093579E-001,        1.341276866934218E-001,        8.324162430743677E-001,        9.697840146422675E-001,        1.041752761839724E+000,        1.397279116472019E-001,       -3.465596086645853E-002,       -2.239677175063217E+000,        7.534133055766504E-001,       -1.167811927028535E+000,        1.063398104982615E-001,       -1.187662758002256E-001,        1.700868646462637E-001,       -1.193757942599406E+000
        4.501000000000003E-001,       -2.351494550225743E-001,        2.133861709392936E-001,       -9.572243629592359E-002,        1.229213031056447E-001,        8.335713241247220E-001,        9.685922827785094E-001,        1.043461907295289E+000,        1.282637209969701E-001,       -3.040813409829814E-002,       -2.060148303917272E+000,        7.167417850469274E-001,       -1.074491895059895E+000,        1.242201941127027E-001,       -1.195668413647055E-001,        1.717251958102383E-001,       -1.100082677347461E+000
        4.601000000000003E-001,       -2.354352799799711E-001,        1.936456381998304E-001,       -8.874381068900251E-002,        1.126173517892278E-001,        8.348921121912894E-001,        9.673929328355609E-001,        1.045186937730271E+000,        1.177062086805779E-001,       -2.686484583986293E-002,       -1.889536063380022E+000,        6.788520622821166E-001,       -9.873174928715809E-001,        1.395393200778041E-001,       -1.202908920874996E-001,        1.732651108182284E-001,       -1.012418689004160E+000
        4.701000000000003E-001,       -2.356887394179106E-001,        1.755625997661902E-001,       -8.214677833290036E-002,        1.031547756839732E-001,        8.363546912768798E-001,        9.661867003945243E-001,        1.046926906026264E+000,        1.079955337681031E-001,       -2.391827622667186E-002,       -1.728764916624289E+000,        6.405421308061398E-001,       -9.061937445960588E-001,        1.526320448971131E-001,       -1.209442956359224E-001,        1.747139675551313E-001,       -9.306960331582999E-001
        4.801000000000003E-001,       -2.359153210922234E-001,        1.590358442071303E-001,       -7.593223092751165E-002,        9.447388101899705E-002,        8.379383590129605E-001,        9.649742637951427E-001,        1.048680937013313E+000,        9.907298171175233E-002,       -2.147481769087899E-002,       -1.578331202484587E+000,        6.024485695026705E-001,       -8.309468676355620E-001,        1.638060287172165E-001,       -1.215326268065568E-001,        1.760787870394978E-001,       -8.547632933835998E-001
        4.901000000000003E-001,       -2.361196428514507E-001,        1.439609362103412E-001,       -7.009541278284916E-002,        8.651701444252002E-002,        8.396253291828117E-001,        9.637562472064320E-001,        1.050448223872130E+000,        9.088166784585817E-002,       -1.945387444637998E-002,       -1.438399045548905E+000,        5.650683472242715E-001,       -7.613458636562905E-001,        1.733358796004627E-001,       -1.220611423036059E-001,        1.773662252384383E-001,       -7.844092139595736E-001
        5.001000000000003E-001,       -2.363055761204670E-001,        1.302331501604939E-001,       -6.462722506480162E-002,        7.922904227215358E-002,        8.414004163143626E-001,        9.625332238772824E-001,        1.052228024507010E+000,        8.336704237387817E-002,       -1.778653965130213E-002,       -1.308874311477271E+000,        5.287762731995822E-001,       -6.971204908204911E-001,        1.814671395130324E-001,       -1.225347679218777E-001,        1.785825480774109E-001,       -7.193807926487086E-001
        5.101000000000003E-001,       -2.364763561143823E-001,        1.177496630639572E-001,       -5.951532870852904E-002,        7.255766747848579E-002,        8.432507226635130E-001,        9.613057194706022E-001,        1.054019657385212E+000,        7.647723160387321E-002,       -1.641425087669096E-002,       -1.189480060022637E+000,        4.938483849498455E-001,       -6.379758334067775E-001,        1.884129567800062E-001,       -1.229580954114783E-001,        1.797336180816199E-001,       -6.593980172519853E-001
